x1,x2,clase
70973.40215783023,18.859916797201468,0.0
67721.18742629242,17.96922325097786,0.0
97660.27190906272,29.463651408558803,0.0
20154.10512458779,25.70466546816172,1.0
43205.75569872967,16.770856492924658,0.0
52373.7219388867,21.76521470574044,0.0
60083.908397042804,73.45445954770891,1.0
90885.41510933424,62.901112886193246,1.0
45386.933413348896,32.40267702110393,0.0
90538.37218746005,58.9824921256461,1.0
84049.49105562267,63.92781357637711,1.0
50375.515373613445,42.33482314089884,0.0
31751.082880142923,19.61926728942497,0.0
79903.34122321938,91.96624817360988,1.0
78653.60587010293,36.400293587062976,0.0
53068.19036587482,60.79797114006423,1.0
99515.81467583928,66.75277364959176,1.0
71381.85826712746,22.57501437360518,0.0
113533.4524007164,36.32062392126316,1.0
105484.06240072008,33.16395078484642,1.0
88142.68221592286,25.28297332192533,0.0
94976.80513991376,73.13603413708854,1.0
67187.52158033648,96.5203692330536,1.0
126499.13307903033,35.625714507549965,1.0
66706.5411148182,57.17122331160564,1.0
100623.81858017789,65.9622761867375,1.0
73174.95151828395,18.497414110064625,0.0
37296.54757150648,21.974367129932908,0.0
91983.44619450586,71.82244066557348,1.0
85519.43647717274,69.19427715370759,1.0
117765.74271337282,72.28256649083056,1.0
51811.77884847221,17.715127621418127,0.0
55917.45399850389,59.9683636449453,1.0
53674.792384603796,87.56584295961686,1.0
102152.05598952294,31.81089814279712,0.0
105694.47475258594,32.622396056659134,1.0
109442.48091465354,66.2587974889955,1.0
58066.1487968155,62.82664404734732,1.0
37852.47368497756,18.069521068998423,0.0
97322.77364273588,68.94155513392485,1.0
36239.032377238495,68.71140668091543,1.0
58279.28125827684,61.86390592600478,1.0
40833.85194171927,32.893606411454336,0.0
110999.16479093744,31.25100623152108,1.0
52045.788035918566,58.15641358186697,1.0
105005.2656019735,62.55361780812007,1.0
64009.22198363552,71.74235304832945,1.0
60341.877688165594,28.02183976795652,0.0
108357.47307361574,40.080954306524326,1.0
37715.11808372777,43.63870201985704,1.0
79186.97560088974,64.0494497146834,1.0
27554.699999342443,36.73224646414853,0.0
107150.16558420945,28.389938912832783,1.0
28987.008426474637,62.7011496734546,0.0
79077.65857153985,60.52143316893014,1.0
60311.37622903312,42.870033218014505,0.0
105137.5134725092,24.60322895303944,1.0
96657.3249554458,69.39507329876943,1.0
101687.5036370192,29.425013063439582,0.0
66477.51133353058,35.162548058361224,0.0
56505.21088754785,65.17109750597011,1.0
78609.6759805011,21.770221500985627,0.0
76958.07703254314,56.42681382538722,1.0
51105.65689670036,74.00745702512323,1.0
46924.33079033633,58.81209222706911,1.0
86542.67610954777,65.17187585640183,1.0
60957.25240986509,61.42627284145177,1.0
71037.63366669453,34.41849166154442,0.0
39759.102474557265,74.8383063239026,1.0
103353.84157189574,80.50850261848089,1.0
104407.37811749308,33.13384953588394,1.0
66333.28129069987,18.010155626356514,0.0
114331.56855169463,71.02351894055181,1.0
68859.93125439272,41.13226354003835,0.0
90421.4270147137,10.352901953425985,0.0
45484.14219775317,54.157495280350616,1.0
74450.56016326348,97.1755075384403,1.0
